EMPLOYEE_ID,JOB_ID, FIRST_NAME,LAST_NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTAL_CODE,HOME_PHONE,OFFICE_PHONE,MANAGER_ID ,EMAIL 
1,1,Roberto,Nelson,4-196 Sugarloaf Hwy,,Kapaa Kauai,HI,94766,808-555-0269,555-55-5555,,rnelsonabc.com
2,1,Mary,Page,PO Box Z-547,,Freeport,HI,94766,809-555-3915,555-55-5555,1921,mpageabc.com
3,1,Pierre,Osborne,4-196 Sugarloaf Hwy,,Kapaa Kauai,HI,94766,808-555-0269,555-55-5555,1921,posborneabc.com
4,1,Roger,De Souza,PO Box Z-547,,Freeport,HI,94767,809-555-3915,555-55-5555,1921,rdesouzaabc.com
5,1,Mary,S. MacDonald,1 Neptune Lane,,Kato Paphos,HI,94812,357-6-876708,555-55-5555,,mmacdonaldabc.com
6,1,Janice,Hill,PO Box 541,,Maui,HI,97212,809-555-8576,555-55-5555,2001,jhillabc.com
7,1,Tom,Sawyer,632-1 Third Frydenho,,Maui,HI,94766,809-555-7281,555-55-5555,2001,tsawyerabc.com
8,1,Oliver,H. Bender,23-738 Paddington La,,Waipahu,HI,99776,808-555-8904,555-55-5555,2001,obenderabc.com
9,1,Leslie,Johnson,32 Main St.,,Kauai,HI,94766,809-555-6864,555-55-5555,,ljohnsonabc.com
10,1,Walter,Steadman,1 Neptune Lane,,Kato Paphos,HI,94788,357-6-876708,555-55-5555,2100,wsteadmanabc.com
11,1,John,Markowitz,PO Box 541,,Koana,HI,94767,809-555-8576,555-55-5555,2100,jmarkowitzabc.com
12,1,Tom,Centre,632-1 Third Frydenho,,Christiansted,HI,94766,809-555-7281,555-55-5555,2100,tcentreabc.com
13,1,Roberto,Nelson,4-196 Sugarloaf Hwy,,Kapaa Kauai,HI,94766,808-555-0269,555-55-5555,2100,kleander2abc.com
14,1,Mary,Page,PO Box Z-547,,Freeport,BA,323K3,809-555-3915,555-55-5555,2100,kleander2abc.com
15,1,Pierre,Osborne,4-196 Sugarloaf Hwy,,Kapaa Kauai,HI,94766,808-555-0269,555-55-5555,2100,kleander2abc.com
16,1,Roger,De Souza,PO Box Z-547,,Freeport,ME,23432,809-555-3915,555-55-5555,2100,kleander2abc.com
17,1,Mary S.,MacDonald,1 Neptune Lane,,Kato Paphos,TX,23423,357-6-876708,555-55-5555,2100,kleander2abc.com
18,1,Cayman,Duckwell,PO Box 541,,AK,Gr,KE3KS,809-555-8576,555-55-5555,2100,kleander2abc.com
19,1,Tom,Sawyer,632-1 Third Frydenho,,Christiansted,St,00820,809-555-7281,555-55-5555,2100,kleander2abc.com
20,1,Oliver H.,Bender,23-738 Paddington La,,Waipahu,HI,99776,808-555-8904,555-55-5555,2100,kleander2abc.com
21,1,Leslie,Johnson,32 Main St.,,Christiansted,St,02800,809-555-6864,555-55-5555,2100,kleander2abc.com
22,1,Walter,Steadman,1 Neptune Lane,,Kato Paphos,VI,3KL39,357-6-876708,555-55-5555,2100,kleander2abc.com
23,1,Cayman,World,PO Box 541,,VI,Gr,3K39D,809-555-8576,555-55-5555,2100,kleander2abc.com
24,1,Tom,Centre,632-1 Third Frydenho,,Christiansted,St,00820,809-555-7281,555-55-5555,2100,kleander2abc.com
25,1,Jack,Aqua,23-738 Paddington La,,Waipahu,HI,99776,808-555-8904,555-55-5555,2100,kleander2abc.com
26,1,Van,Vver,32 Main St.,,Christiansted,St,02800,809-555-6864,555-55-5555,2100,kleander2abc.com
